kartez,family,genus,species,subspecies_variety,common name,photosynthetic_pathway,life_cycle,life_form,native,path,a_p,g_f
ERTE13,Geraniaceae,Erodium,texanum,,Texas storks bill,,ab,H,y,C3,a ,f
ERWR,Polygonaceae,Eriogonum,wrightii,,bastardsage,C3,p,S/ss/H,y,C3,p,s
EUDA5,Euphorbiaceae,Euphorbia,davidii,,David's spurge,,a,H,n,NA,a,f
EUEX4,Euphorbiaceae,Euphorbia,exstipulata,,squareseed spurge,,a,H,y,C3,a,f
EVNU,Convolvulaceae,Evolvulus,nuttallianus,,shaggy dwarf morning-glory,C3,p,ss/H,y,C3,p,f
FAPA,Rosaceae,Fallugia,paradoxa,,Apache plume,C3,p,S,y,C3,p,s
FEAR2,Poaceae,Festuca,arizonica,,Arizona fescue,C3,p,G,y,C3,p,g
FECA6,Poaceae,Festuca,calligera,,southwest fescue,,p,G,y,C3,p,g
FERU,Hydrangeaceae,Fendlera,rupicola,,cliff fendlerbush,,p,S,y,C3,p,s
FLCA,Asteraceae,Flaveria,campestris,,alkali yellowtops ,,a,H,y,C4,a,f
FOSP2,Fouquieriaceae,Fouquieria,splendens,,ocotillo,C3,p,S,y,C3,p,s
FRJA,Frankeniaceae,Frankenia,jamesii,,James' seaheath,,p,S/ss,y,C3,p,s
FRVE2,Oleaceae,Fraxinus,velutina,,velvet ash,C3,p,T,y,C3,p,t
FUCR,Asclepiadaceae,Funastrum,crispum,,,,p,V/H,y,C3,p,f
FUCYH,Asclepiadaceae,Funastrum,cynanchoides,subsp. heterophyllum,Hartweg's twinevine,,p,H,y,C3,p,f
GACO5,Onagraceae,Gaura,coccinea,,scarlet beeblossom,,p,ss/H,y,C3,p,f
GAPI,Asteraceae,Gaillardia,pinnatifida,,red dome blanketflower,,p,ss/H,y,C3,p,f
GAPU,Asteraceae,Gaillardia,pulchella,,firewheel,,abp,ss/H,y,C3,p,f
GAPUP2,Asteraceae,Gaillardia,pulchella,var. pulchella,Indian blanket,,abp,ss/H,y,NA,p,f
GASUN,Onagraceae,Gaura,suffulta,subsp. nealleyi,Nealley's kisses,,a,H,y,C3,a,f
GATR2,Rubiaceae,Galium,trifidum,,threepetal bedstraw,,p,V/H,y,NA,p,f
GAWR3,Garryaceae,Garrya,wrightii,,Wright's silktassel,C3,p,T/S,y,C3,p,t
GIFL,Polemoniaceae,Gilia,flavocincta,,lesser yellowthroat gilia,C3,a,H,y,C3,a,f
GIME,Polemoniaceae,Gilia,mexicana,,El Paso gilia,,a,H,y,C3,a,f
GIRI3,Polemoniaceae,Giliastrum,rigidula,,bluebowls,,ap,ss/H,y,C3,p,f
GISI,Polemoniaceae,Gilia,sinuata,,rosy gilia,,a,H,y,C3,a,f
GLBI2,Verbenaceae,Glandularia,bipinnatifida,,Dakota mock vervain,,ap,H,y,C3,p,f
GLBIB,Verbenaceae,Glandularia,bipinnatifida,var. bipinnatifida,Dakota mock vervain,,ap,H,y,C3,p,f
GLBIC,Verbenaceae,Glandularia,bipinnatifida,var. ciliata,Davis Mountina mock vervain,,ap,H,y,C3,p,f
GLLE3,Fabaceae,Glycyrrhiza,lepidota,,American licorice,,p,H,y,C3,p,f
GLSP,Crossosomataceae,Glossopetalon,spinescens,,spiny greasebush,,p,S/ss,y,NA,p,s
GLWR,Verbenaceae,Glandularia,bipinnatifida,var. ciliata,Davis Moutnain mock vervain,,ap,H,y,C3,p,f
GRCL,Cactaceae,Grusonia,clavata,,club cholla,CAM,p,S/su,y,CAM,p,s
GRNUA,Asteraceae,Grindelia,nuda,var. aphanactis,curlytop gumweed,,abp,H,y,C3,p,f
GRNUN,Asteraceae,Grindelia,nuda,var. nuda,curlytop gumweed,,abp,H,y,NA,p,f
GUSA2,Asteraceae,Gutierrezia,sarothrae,,broom snakeweed,C3,p,S/ss/H,y,C3,p,s
GUSP,Asteraceae,Gutierrezia,sphaerocephala,,roundleaf snakeweed,C3,ap,ss/H,y,NA,p,f
GUTEG,Asteraceae,Gutierrezia,texana,var. glutinosa,sticky snakeweed,C3,ap,ss/H,y,C3,p,f
HAPI2,Boraginaceae,Hackelia,pinetorum,,Livermore stickseed,,bp,H,y,C3,p,f
HEAN3,Asteraceae,Helianthus,annuus,,common sunflower,C3,a,H,y,C3,a,f
HECI,Asteraceae,Helianthus,ciliaris,,Texas blueweed,C3,p,H,y,C3,p,f
HECO5,Boraginaceae,Heliotropium,convolvulaceum,,phlox heliotrope,,a,H,y,C3-C4,a,f
HECU3,Boraginaceae,Heliotropium,curassavicum,,salt heliotrope,,ap,ss/H,y,NA,p,f
HECUC2,Boraginaceae,Heliotropium,curassavicum,var. curassavicum,salt heliotrope,,ap,ss/H,y,C3,p,f
HEDR,Lamiaceae,Hedeoma,drummondii,,Drummond's false pennyroyal,,abp,H,y,C3,p,f
HEFUF,Asteraceae,Heterotheca,fulcrata,var. fulcrata,rockyscree false goldenaster,,p,ss/H,y,NA,p,f
HEMUN,Asteraceae,Heliomeris,multiflora,var. nevadensis,Nevada goldeneye,C3,p,H,y,NA,p,f
HENA,Lamiaceae,Hedeoma,nana,,dwarf false pennyroyal,,ap,H,y,C3,p,f
HENE5,Poaceae,Hesperostipa,neomexicana,,New Mexico feathergrass,,p,G,y,C3,p,g
HENIC,Asteraceae,Helianthus,niveus,subsp. canescens,showy sunflower,C3,ap,ss/H,y,NA,p,f
HEOB,Lamiaceae,Hedeoma,oblongifolia,,oblongleaf false pennyroyal,,p,H,y,C3,p,f
HEPE,Asteraceae,Helianthus,petiolaris,,prairie sunflower,C3,a,H,y,NA,a,f
HEPEF,Asteraceae,Helianthus,petiolaris,subsp. fallax,prairie sunflower,C3,a,H,y,C3,a,f
HEPEP,Asteraceae,Helianthus,petiolaris,subsp. petiolaris,prairie sunflower,C3,a,H,y,C3,a,f
HEPI2,Asteraceae,Heterosperma,pinnatum,,wingpetal,,a,H,y,NA,a,f
HERUR2,Saxifragaceae,Heuchera,rubescens,var. rubescens,pink alumroot,,p,H,y,C3,p,f
HEVI4,Asteraceae,Heterotheca,villosa,,hairy false goldenaster,C3,p,ss/H,y,NA,p,f
HEVIM3,Asteraceae,Heterotheca,villosa,var. minor,hairy false goldenaster,C3,p,ss/H,y,NA,p,f
HEVIV,Asteraceae,Heterotheca,villosa,var. villosa,hairy false goldenaster,C3,p,ss/H,y,C3,p,f
HODR,Fabaceae,Hoffmannseggia,drepanocarpa,,sicklepod holdback,,p,ss/H,y,C3,p,f
HOGL2,Fabaceae,Hoffmannseggia,glauca,,Indian rushpea,,p,ss/H,y,C3,p,f
HOJU,Poaceae,Hordeum,jubatum,,foxtail barley,C3,p,G,y,C3,p,g
HORU,Rubiaceae,Houstonia,rubra,,red bluet,,p,H,y,C3,p,f
HYBR7,Asteraceae,Hymenoxys,brachyactis,,East View rubberweed,,p,H,y,NA,p,f
HYFI,Asteraceae,Hymenopappus,filifolius,,fineleaf hymenopappus,,p,ss/H,y,NA,p,f
HYFIC,Asteraceae,Hymenopappus,filifolius,var. cinereus,fineleaf hymenopappus,,p,ss/H,y,C3,p,f
HYFL,Asteraceae,Hymenopappus,flavescens,,collegeflower,,b,H,y,NA,a,f
HYFLC,Asteraceae,Hymenopappus,flavescens,var. canotomentosus,collegeflower,,b,H,y,C3,a,f
HYFLF,Asteraceae,Hymenopappus,flavescens,var. flavescens,collegeflower,,b,H,y,NA,a,f
HYMO,Asteraceae,Hymenoclea,monogyra,,singlewhorl burrobush,,p,S/ss,y,C3,p,s
HYOD,Asteraceae,Hymenoxys,odorata,,bitter rubberweed,C3,a,H,y,C3,a,f
HYRIF,Asteraceae,Hymenoxys,richardsonii,var. floribunda,Colorado rubberweed,,p,ss/H,y,C3,p,f
HYVE,Violaceae,Hybanthus,verticillatus,,babyslippers,,p,H,y,C3,p,f
HYVE2,Apiaceae,Hydrocotyle,verticillata,,whorled marshpennywort,,p,H,y,C3,p,f
IPCO2,Convolvulaceae,Ipomoea,costellata,,crestrib morning-glory,,a,V/H,y,C3,a,f
IPCR,Convolvulaceae,Ipomoea,cristulata,,Trans-Pecos morning-glory,,a,V/H,y,C3,a,f
IPLA2,Polemoniaceae,Ipomopsis,laxiflora,,iron ipomopsis,,ab,H,y,C3,a ,f
IPLO2,Polemoniaceae,Ipomopsis,longiflora,,flaxflower ipomopsis,,ab,H,y,C3,a ,f
IPMU3,Polemoniaceae,Ipomopsis,multiflora,,manyflowered ipomopsis,,p,ss/H,y,C3,p,f
IPPU4,Polemoniaceae,Ipomopsis,pumila,,dwarf ipomopsis,,a ,H,y,C3,a ,f
ISPL,Asteraceae,Isocoma,pluriflora,,southern goldenbush,,p,ss/H,y,C3,p,f
JUME4,Juncaceae,Juncus,mexicanus,,Mexican rush,C3,p,G,y,C3,p,g
JUMO,Cupressaceae,Juniperus,monosperma,,oneseed juniper,C3,p,T/ss,y,C3,p,s
JUTO,Juncaceae,Juncus,torreyi,,Torrey's rush,C3,p,G,y,C3,p,g
KAHI,Zygophyllaceae,Kallstroemia,hirsutissima,,,,a,H,y,C4,a,f
KAPA,Zygophyllaceae,Kallstroemia,parviflora,,warty caltrop,C4,a,H,y,C4,a,f
KOMA,Poaceae,Koeleria,macrantha,,prairie Junegrass,C4,p,G,y,C3,p,g
KRLA,Krameriaceae,Krameria,lanceolata,,trailing krameria,C3,p,ss/H,y,C3,p,f
KRLA2,Chenopodiaceae,Krascheninnikovia,lanata,,winterfat,C3,p,S/ss,y,C3,p,s
LACO13,Asteraceae,Laennecia,coulteri,,Coulter's horseweed,,ab,H,y,C3,a ,f
LAOC3,Boraginaceae,Lappula,occidentalis,,flatspine stickseed,C3,ap,H,y,NA,p,f
LAOCC,Boraginaceae,Lappula,occidentalis,var. cupulata,flatspine stickseed,C3,ab,H,y,C3,a ,f
LAOCO,Boraginaceae,Lappula,occidentalis,var. occidentalis,flatspine stickseed,C3,ab,H,y,C3,a ,f
LASE,Asteraceae,Lactuca,serriola,,prickly lettuce,C3,ab,H,n,C3,a ,f
LATR2,Zygophyllaceae,Larrea,tridentata,,creosote bush,C3,p,S,y,C3,p,s
LEAL4,Brassicaceae,Lepidium,alyssoides,,mesa pepperweed,C3,bp,ss/H,y,C3,p,f
LEALA4,Brassicaceae,Lepidium,alyssoides,var. angustifolium,mesa pepperweed,C3,bp,H,y,C3,p,f
LEDE,Brassicaceae,Lepidium,densiflorum,,common pepperweed,C3,ab,H,y,C3,a ,f
LEDE23,Asteraceae,Leuciva,dealbata,,woolly marsh elder,,p,H,y,NA,p,f
LEDU,Poaceae,Leptochloa,dubia,,mucronate sprangletop,C4,p,G,y,C4,p,g
LEFE,Brassicaceae,Lesquerella,fendleri,,Fendler's bladderpod,C3,p,H,y,C3,p,f
LEFUF,Poaceae,Leptochloa,fusca,subsp. fascicularis,bearded sprangletop,,a,G,y,NA,a,g
LEGO,Brassicaceae,Lesquerella,gordonii,,Gordon's bladderpod,C3,abp,H,y,C3,p,f
LELA,Brassicaceae,Lepidium,lasiocarpum,,shaggyfruit pepperweed,C3,ab,H,y,C3,a ,f
LEMNA,Lemnaceae,Lemna,spp.,,duckweed,,,,,C3,a,f
LEMO2,Brassicaceae,Lepidium,montanum,,mountain pepperweed,C3,bp,ss/H,y,C3,p,f
LEOV,Brassicaceae,Lesquerella,ovalifolia ,,roundleaf bladderpod ,,p,H,y,C3,p,f
LEPI3,Brassicaceae,Lesquerella,pinetorum,,White Mountain bladderpod,,p,H,Y,C3,p,f
LEVIM,Brassicaceae,Lepidium,virginicum,var. medium,intermediate pepperweed,C3,abp,H,y,C3,p,f
LIAR3,Linaceae,Linum,aristatum,,bristle flax,,a,H,y,C3,a,f
LIAU4,Linaceae,Linum,australe,,southern flax,,a,H,y,C3,a,f
LIAUA,Linaceae,Linum,australe,var. australe,southern flax,,a,H,y,C3,a,f
LICO7,Boraginaceae,Lithospermum,cobrense,,smooththroat stoneseed,C3,p,H,y,C3,p,f
LIIN2,Boraginaceae,Lithospermum,incisum,,narrowleaf stoneseed,C3,p,H,y,C3,p,f
LILI4,Plumbaginaceae,Limonium,limbatum,,Trans-Pecos sea lavender,,p,H,y,C3,p,f
LIMU3,Boraginaceae,Lithospermum,multiflorum,,manyflowered stoneseed,C3,p,H,y,C3,p,f
LIPU4,Linaceae,Linum,puberulum,,plains flax,,a,H,y,C3,a,f
LISC5,Linaceae,Linum,schiedeanum,,Schied's flax,,p,H,y,C3,p,f
LOCA2,Campanulaceae,Lobelia,cardinalis,,cardinalflower,C3,p,H,y,C3,p,f
LOGR4,Fabaceae,Lotus,greenei,,Greene's bird's-foot trefoil,,p,H,y,C3,p,f
LOPL2,Fabaceae,Lotus,plebeius,,New Mexico bird's-foot trefoil,,p,H,y,C3,p,f
LOWR,Fabaceae,Lotus,wrightii,,Wright's deervetch,,p,H,y,C3,p,f
LUBR2,Fabaceae,Lupinus,brevicaulis,,shortstem lupine,,a,H,y,C3,a,f
LUKIA,Fabaceae,Lupinus,kingii,var. argillaceus,King's lupine,,a,H,y,C3,a,f
LYAM,Lamiaceae,Lycopus,americanus,,American water horehound,C3,p,H,y,C3,p,f
LYAS,Lamiaceae,Lycopus,asper,,rough bugleweed,C3,p,H,y,C3,p,f
LYPA,Solanaceae,Lycium,pallidum,,pale desert thorn,,p,S,y,C3,p,s
LYPH,Poaceae,Lycurus,phleoides,,common wolfstail,C4,p,G,y,C4,p,g
LYTO,Solanaceae,Lycium,torreyi,,Torrey wolfberry,,p,S,y,C3,p,s
MAAN9,Scrophulariaceae,Maurandella,antirrhiniflora,,roving sailor,,p,V/H,y,C3,p,f
MABIB,Asteraceae,Machaeranthera,bigelovii,var. bigelovii,Bigelow's tansyaster,,bp,H,y,NA,p,f
MACAC3,Asteraceae,Machaeranthera,canescens,subsp. canescens var. canescens,hoary tansyaster,,abp,H,y,NA,p,f
MAFE,Asteraceae,Malacothrix,fendleri,,Fendler's desertdandelion,C3,a,H,y,C3,a,f
MAGR10,Asteraceae,Machaeranthera,gracilis,,slender goldenweed,C3,a,H,y,C3,a,f
MAHA4,Berberidaceae,Mahonia,haematocarpa,,red barberry,,p,S,y,C3,p,s
MALE3,Malvaceae,Malvella,leprosa,,alkali mallow,,p,H,y,C3,p,f
MAPIP,Asteraceae,Machaeranthera,pinnatifida,subsp. pinnatifida,lacy tansyaster,C3,p,ss/H,y,C3,p,f
MARE11,Berberidaceae,Mahonia,repens,,creeping barberry,,p,S/ss,y,C3,p,s
MATA2,Asteraceae,Machaeranthera,tanacetifolia,,tanseyleaf aster,C3,ab,H,y,C3,a ,f
MEAL6,Loasaceae,Mentzelia,albicaulis,,whitestem blazingstar,C3,a,H,y,C3,a,f
MEAR4,Lamiaceae,Mentha,arvensis,,wild mint,,p,H,y,C3,p,f
MEHU,Loasaceae,Mentzelia,humilis,,gypsum blazingstar,C3,ap,H,y,C3,p,f
MELA,Loasaceae,Mentzelia,laciniata,,cutleaf blazingstar,,p,H,y,C3,p,f
MELE2,Asteraceae,Melampodium,leucanthum,,plains blackfoot,C3,p,ss/H,y,C3,p,f
MEMU3,Loasaceae,Mentzelia,multiflora,,Adonis blazingstar,,bp,H,y,C3,p,f
MEMUM2,Loasaceae,Mentzelia,multiflora,var. multiflora,Adonis blazingstar,,bp,H,y,C3,p,f
MEOF,Fabaceae,Melilotus,officinalis,,yellow sweetclover,C3,abp,H,y,C3,p,f
MEOL,Loasaceae,Mentzelia,oligosperma,,chickenthief,,p,H,y,C3,p,f
MEPE6,Loasaceae,Mentzelia,perennis,,perennial blazingstar,,p,H,y,C3,p,f
MESC,Oleaceae,Menodora,scabra,,rough menodora,C3,p,ss/H,y,C3,p,f
MIAL4,Nyctaginaceae,Mirabilis,albida,,white four o'clock,,p,ss/H,y,C3,p,f
MIGL3,Nyctaginaceae,Mirabilis,glabra,,Smooth four o'clock,,p,H,y,C3,p,f
MILI3,Nyctaginaceae,Mirabilis,linearis,,narrowleaf four o'clock,C3,p,H,y,C3,p,f
MIMU,Nyctaginaceae,Mirabilis,multiflora,,Colorado four o'clock,C3,p,H,y,C3,p,f
MIOB2,Caryophyllaceae,Minuartia,obtusiloba,,twinflower sandwort,,p,H,y,NA,p,f
MIOX,Nyctaginaceae,Mirabilis,oxybaphoides,,smooth spreading four o'clock,C3,p,H,y,C3,p,f
MIPU6,Nyctaginaceae,Mirabilis,pumila,,dwarf four o'clock,C3,p,H,y,C3,p,f
MUAR,Poaceae,Muhlenbergia,arenacea,,ear muhly,C4,p,G,y,C4,p,g
MUAR2,Poaceae,Muhlenbergia,arenicola,,sand muhly,,p,G,y,C4,p,g
MUAS,Poaceae,Muhlenbergia,asperifolia,,Parodi scratchgrass,,p,G,y,C4,p,g
MUFR,Poaceae,Muhlenbergia,fragilis,,delicate muhly,,a,G,y,C4,a,g
MUMO,Poaceae,Muhlenbergia,montana,,mountain muhly,,p,G,y,C4,p,g
MUPA2,Poaceae,Muhlenbergia,pauciflora,,New Mexico muhly,,p,G,y,C4,p,g
MUPO2,Poaceae,Muhlenbergia,porteri,,bush muhly,C4,p,G,y,C4,p,g
MURE,Poaceae,Muhlenbergia,repens,,creeping muhly,,p,G,y,C4,p,g
MURI2,Poaceae,Muhlenbergia,rigens,,deergrass,,p,G,y,C4,p,g
MUSE,Poaceae,Muhlenbergia,setifolia,,curlyleaf muhly,,p,G,y,C4,p,g
MUSQ3,Poaceae,Munroa,squarrosa,,false buffalograss,,a,G,y,NA,a,g
MUTE4,Poaceae,Muhlenbergia,tenuifolia,,slender muhly,,ap,G,y,C4,p,g
MUTO2,Poaceae,Muhlenbergia,torreyi,,ring muhly,,p,G,y,C4,p,g
NACA,Hydrophyllaceae,Nama,carnosum,,sand fiddleleaf,,p,ss/H/su,y,C3,p,f
NADI,Hydrophyllaceae,Nama,dichotomum,,wishbone fiddleleaf,,a,H,y,C3,a,f
NAHI,Hydrophyllaceae,Nama,hispidum,,bristly nama,C3,a,H,y,C3,a,f
NECA3,Brassicaceae,Nerisyrenia,camporum,,bicolor fanmustard,,p,ss/H,y,C3,p,f
NELI,Brassicaceae,Nerisyrenia,linearifolia,,White Sands fanmustard,,p,ss/H,y,C3,p,f
NOMI,Liliaceae,Nolina,microcarpa,,sacahuista,,p,S/ss,y,C3,p,s
NOST,Pteridaceae,Notholaena,standleyi,,star cloak fern,,P,H,y,C3,p,f
OEAL,Onagraceae,Oenothera,albicaulis,,whitest evening primrose,C3,a,H,y,C3,a,f
OECA10,Onagraceae,Oenothera,caespitosa,,tufted evening primrose,C3,p,ss/H,y,C3,p,f
OECAC2,Onagraceae,Oenothera,caespitosa,subsp. caespitosa,tufted evening primrose,C3,p,ss/H,y,C3,p,f
OECO2,Onagraceae,Oenothera,coronopifolia,,crownleaf evening primrose,C3,p,H,y,C3,p,f
OEELH,Onagraceae,Oenothera,elata,subsp. hirsutissima,Hooker's evening primrose,C3,bp,H,y,C3,p,f
OEPA,Onagraceae,Oenothera,pallida,,pale evening primrose,C3,bp,H,y,C3,p,f
OEPAG,Onagraceae,Oenothera,pallida,subsp. gypsophila,whitepole evening primrose,C3,p,H,y,C3,p,f
OEPAR,Onagraceae,Oenothera,pallida,subsp. runcinata,pale evening primrose,C3,p,H,y,C3,p,f
OEPAT,Onagraceae,Oenothera,pallida,subsp. trichocalyx,pale evening primrose,C3,bp,H,y,C3,p,f
OPEN3,Cactaceae,Opuntia,engelmannii,,cactus apple,CAM,p,S/su,y,CAM,p,s
OPFR,Cactaceae,Opuntia,fragilis,,brittle pricklypear,CAM,p,S/su,y,CAM,p,s
OPMA8,Cactaceae,Opuntia,macrocenta ,,purple pricklypear,CAM,p,T/S/su,y,CAM,p,s
OPPH,Cactaceae,Opuntia,phaeacantha,,tulip pricklypear,CAM,p,S/su,y,CAM,p,s
OPPO,Cactaceae,Opuntia,polyacantha,,plains pricklypear,CAM,p,S/su,y,CAM,p,s
OPPOE,Cactaceae,Opuntia,polyacantha,var. erinacea,grizzlybear pricklypear,CAM,p,S/su,y,CAM,p,s
OPPOP,Cactaceae,Opuntia,polyacantha,var. polyacantha,hairspine pricklypear,CAM,p,S/su,y,CAM,p,s
OPUNT,Cactaceae,Opuntia,sp,,prickly pear cactus,CAM,p,S/su,y,CAM,p,s
ORLUM,Orobanchaceae,Orobanche,ludoviciana,subsp. multiflora,manyflowered broomrape,,a,H/rp,y,C3,a,f
OXVI,Oxalidaceae,Oxalis,violacea,,violet woodsorrel,C3,p,H,y,C3,p,f
PACA6,Poaceae,Panicum,capillare,,witchgrass,C4,a,G,y,C4,a,g
PACO11,Asteraceae,Parthenium,confertum,,Gray's feverfew,,abp,ss/H,y,NA,p,f
PAFI4,Fabaceae,Parryella,filifolia,,common dunebroom,,p,S,y,C3,p,s
PAHA,Poaceae,Panicum,hallii,,Hall's panicgrass,,p,G,y,C4,p,g
PAIN2,Asteraceae,Parthenium,incanum,,mariola,C3,p,S,y,C3,p,s
PAJA,Caryophyllaceae,Paronychia,jamesii,,James' nailwort,,p,ss/H,y,C3,p,f
PAOB,Poaceae,Panicum,obtusum,,vine mesquite,C4,p,G,y,C4,p,g
PAQU2,Vitaceae,Parthenocissus,quinquefolia,,Virginia creeper,C3,p,WV,y,C3,p,s
PASM,Poaceae,Pascopyrum,smithii,,western wheatgrass,,p,G,y,C3,p,g
PASP,Asteraceae,Palafoxia,sphacelata,,othake,,a,H,y,C3,a,f
PEAM,Scrophulariaceae,Penstemon,ambiguus,,Gilia beardtongue,C3,p,H,y,C3,p,f
PEAML2,Scrophulariaceae,Penstemon,ambiguus,var. laevissimus,pink plains beardtongue,C3,p,ss/H,y,C3,p,f
PEAN,Asteraceae,Pectis,angustifolia,,lemonscent,C4,a,H,y,C4,a,f
PEBA2,Scrophulariaceae,Penstemon,barbatus,,beardlip penstemon,C3,p,H,y,C3,p,f
PEBAT,Scrophulariaceae,Penstemon,barbatus,var. torreyi,Torrey's penstemon,C3,p,H,y,C3,p,f
PECA10,Asteraceae,Pericome,caudata,,mountian tail-leaf,,p,H,y,C3,p,f
PECA12,Rosaceae,Petrophyton,caespitosum,,mat rockspirea,,p,ss/H,y,C3,p,f
PEFE,Scrophulariaceae,Penstemon,fendleri,,Fendler's penstemon,C3,p,H,y,C3,p,f
PEHY4,Fabaceae,Pediomelum,hypogaeum,,subterranean Indian breadroot,,p,H,y,C3,p,f
PEJA,Scrophulariaceae,Penstemon,jamesii,,James' beardtongue,C3,p,ss/H,y,C3,p,f
PEOP,Scrophulariaceae,Penstemon,ophianthus,,coiled anther penstemon,,p,H,y,C3,p,f
PEVI4,Scrophulariaceae,Penstemon,virgatus,,upright blue beardtongue,C3,p,H,y,C3,p,f
PHAN3,Fabaceae,Phaseolus,angustissimus,,slimleaf bean,,p,V/H,y,C3,p,f
PHCO,Hydrophyllaceae,Phacelia,coerulea,,skyblue phacelia,,a,H,y,C3,a,f
PHCR,Hydrophyllaceae,Phacelia,crenulata,var. corrugata,cleafleaf wildheliotrope,,a,H,y,C3,a,f
PHHE4,Solanaceae,Physalis,hederifolia,,ivyleaf groundcherry,C3,p,ss/H,y,C3,p,f
PHHEF,Solanaceae,Physalis,hederifolia,var. fendleri,Fendler's groundcherry,C3,p,ss/H,y,C3,p,f
PHHEH2,Solanaceae,Physalis,hederifolia,var. hederifolia,ivyleaf groundcherry,C3,p,ss/H,y,C3,p,f
PHIN,Hydrophyllaceae,Phacelia,integrifolia,,gypsum phacelia,,abp,H,y,C3,p,f
PHINI5,Hydrophyllaceae,Phacelia,integrifolia,var. integrifolia,gypsum phacelia,,abp,H,y,C3,p,f
PHJU,Viscaceae,Phoradendron,juniperinum,,juniper mistletoe,,p,S/ss/sp,y,C3,p,s
PHLO15,Portulacaceae,Phemeranthus,longipes,,pink fameflower,,p,H,y,NA,p,f
PHLOL3,Solanaceae,Physalis,longifolia,var. longifolia,longleaf groundcherry,C3,p,H,y,C3,p,f
PHPA29,Portulacaceae,Phemeranthus,parviflorus,,sunbright,C3,p,ss/H,y,NA,p,f
PIED,Pinaceae,Pinus,edulis,,twoneedle pinyon,C3,p,T,y,C3,p,t
PLJA,Poaceae,Pleuraphis,jamesii,,James' galleta,,p,G,y,C4,p,g
PLMA2,Plantaginaceae,Plantago,major,,common plaintain,,p,H,y,C3,p,f
PLPA2,Plantaginaceae,Plantago,patagonica,,woolly plantain,C3,a,H,y,C3,a,f
POAL4,Polygalaceae,Polygala,alba,,white milkwort,,p,H,y,C3,p,f
POBI,Poaceae,Poa,bigelovii,,Bigelow's bluegrass,C3,a,G,y,C3,a,g
PODO3,Capparaceae,Polanisia,dodecandra,,redwhisker clammyweed,C3,a,H,y,C3,a,f
PODOR,Capparaceae,Polanisia,dodecandra,subsp. riograndensis,Rio Grande clammyweed,C3,a,H,y,C3,a,f
PODOT,Capparaceae,Polanisia,dodecandra,subsp. trachysperma,sandyseed clammyweed,C3,a,H,y,C3,a,f
POFE,Poaceae,Poa,fendleriana,,muttongrass,C3,p,G,y,C3,p,g
POFEF,Poaceae,Poa,fendleriana,subsp. fendleriana,muttongrass,C3,p,G,y,C3,p,g
POFEL,Poaceae,Poa,fendleriana,subsp. longiligula,muttongrass,,p,G,y,C3,p,g
POFR2,Salicaceae,Populus,fremontii,,Fremont cottonwood,,p,T ,y,C3,p,t
POHA5,Portulacaceae,Portulaca,halimoides,,silkcotton purslane,C4,a,H/su,y,C4,a,f
POJA5,Fabaceae,Pomaria,jamesii,,James' holdback,,p,ss/H,y,C3,p,f
POLA4,Polygonaceae,Polygonum,lapathifolia,,curlytop knotweed,C3,a,H,n,C3,a,f
POMO5,Poaceae,Polypogon,monspeliensis,,annual rabbitsfoot grass,C3,a,G,n,C3,a,g
POOL,Portulacaceae,Portulaca,oleracea,,little hogweed,,a,H/su,y,C4,a,f
POUN3,Capparaceae,Polanisia,uniglandulosa,,Mexican clammyweed,C3,ap,H,y,C3,p,f
POVI9,Poaceae,Polypogon,viridis,,beardless rabbitsfoot grass,,p,G,n,C3,p,g
PRGL2,Fabaceae,Prosopis,glandulosa,,honey mesquite,C3,p,T/S,y,C3,p,t
PRGLT,Fabaceae,Prosopis,glandulosa,var. torreyana,western honey mesquite,C3,p,T/S,y,C3,p,t
PRPA2,Pedaliaceae,Proboscidea,parviflora,,doubleclaw,C3,a,H,y,C3,a,f
PRPAP3,Pedaliaceae,Proboscidea,parviflora,subsp. parviflora,devil's claw,C3,a,H,y,C3,a,f
PRSA2,Pedaliaceae,Proboscidea,sabulosa,,sanddune unicorn-plant,C3,a,H,n,C3,a,f
PRVI,Rosaceae,Prunus,virginiana,,chokecherry,C3,p,T/S,y,C3,p,t
PRVIM,Rosaceae,Prunus,virginiana,var. melanocarpa,black chokecherry,C3,p,T/S,y,C3,p,t
PSAS2,Asteraceae,Psilactis,asteroides,,New Mexico tansyaster,,abp,H,y,NA,p,f
PSLA3,Fabaceae,Psoralidium,lanceolatum,,salty popcornflower,,p,H,y,C3,p,f
PSSC6,Fabaceae,Psorothamnus,scoparius,,broom dalea,,p,S/ss,y,C3,p,s
PSSP,Asteraceae,Psilostrophe,sparsiflora,,greenstem paperflower,,p,ss/H,y,C3,p,f
PSSPI,Poaceae,Pseudoroegneria,spicata,var. inermis,beardless wheatgrass,,p,G,y,NA,p,g
PSSPS,Poaceae,Pseudoroegneria,spicata,subsp. spicata,bluebunch wheatgrass,,p,G,y,NA,p,g
PSTA,Asteraceae,Psilostrophe,tagetina,,woolly paperflower,,p,H,y,NA,p,f
PSTAT,Asteraceae,Psilostrophe,tagetina,var. tagetina,woolly paperflower,,p,H,y,C3,p,f
PTTRA,Rutaceae,Ptelea,trifoliata,subsp. angustifolia ,common hoptree,,p,T/S,y,C3,p,t
QUTU2,Fagaceae,Quercus,turbinella,,Sonoran scrub oak,C3,p,T/S,y,C3,p,t
